Blog	looking	here	want	how	re	service	tech	than	best	much	life	things	had	has	right	old	people	continue	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	city	say	take	going	where	many	being	around	world	power	favorite	her	am	an	as	tv	small	past	hours	more	company	its	always	found	week	really	number	show	self	also	play	set	see	movie	let	fire	since	read	d	be	by	into	line	up	us	ago	try	video	great	makes	next	could	should	hope	means	email	ve	site	off	web	become	does	work	after	then	them	they	another	what	do	away	we	com	night	post	months	way	was	change	live	can	still	not	now	year	shows	online	only	between	these	media	real	using	t	your	aren	lot	trying	very	put	help	during	won	probably	both	look	while	used	game	some	run	doesn	e	go	facebook	started	including	him	special	times	need	she	i	well	page	twitter	home	he	even	new	ever	tell	give	president	before	better	went	side	content	isn	seen	don	m	bad	said	against	three	if	make	just	down	digital	did	box	making	may	talk	group	thing	think	first	little	anyone	were	black	get	enough	reading	according	mark	those	different	same	money	videos	again	two	share	through	good	house	hard	idea	least	most	services	find	point	understand	itself	big	bit	google	often	back	others	ll	day	have	taking	thought	like	about	but	under	every	would	me	my	keep	end	over	writing	each	got	free	days	already	top	too	took	amazon	full	news	been	everything	never	no	when	today	trump	name	turn	place	any	sure	ways	come	case	without	blog	or	everyone	there	all	list	design	might	friday	feel	story	store	part	his	b	wrote	are	recently	long	called	users	once	apple	app	use	from	few	getting	something	instead	our	out	york	their	which	who	why	last	will	other	know	because	own	made	book
ShoeMoney	6	4	8	26	20	6	3	8	4	7	4	4	3	6	6	1	15	0	0	5	0	1	1	1	0	5	7	4	2	5	0	12	0	0	0	4	9	1	5	5	0	4	0	0	0	0	9	9	3	3	0	0	7	1	2	3	0	1	1	2	0	4	1	2	0	4	0	1	0	0	1	1	21	5	7	0	6	1	0	2	14	5	0	2	5	2	0	1	0	8	2	2	2	1	2	2	1	4	6	17	0	27	9	0	19	0	1	3	0	3	7	2	0	27	3	9	2	6	0	5	4	1	3	1	0	3	30	41	4	1	1	0	0	4	0	3	3	2	1	3	1	3	12	2	4	5	1	0	4	1	0	0	3	7	0	27	3	2	0	0	1	4	13	5	3	2	0	5	2	0	0	3	4	2	5	6	0	2	0	2	11	2	6	4	2	1	0	2	0	1	0	4	3	5	0	1	2	0	4	0	4	1	0	3	4	1	7	0	0	1	0	1	2	0	3	4	2	7	3	5	0	2	0	0	2	1	2	3	0	3	1	13	5	1	6	13	12	1	4	1	2	9	6	1	8	0	0	1	1	0	1	3	0	0	2	2	0	2	3	0	3	4	5	0	2	0	2	3	2	4	4	0	1	6	12	2	11	13	1	0	2	0	3	5	5	1	0	1	0	26	2	0	1	1	2	1	0	2	9	1	2	3	1	4	10	0	9	0	1	7	3	4	0	8	2	5	3	0
Slashdot	1	1	1	6	7	6	1	10	1	4	0	1	4	18	0	2	6	5	12	4	2	0	2	8	1	8	4	1	1	1	0	9	0	2	0	4	0	3	3	2	1	2	4	0	0	0	23	30	0	0	1	1	32	7	10	1	2	0	1	0	2	2	9	0	2	1	0	2	2	3	16	1	11	16	6	1	4	5	0	0	0	1	1	1	4	2	0	2	0	10	2	3	2	1	1	2	8	3	2	4	2	6	3	1	31	0	3	2	2	2	19	4	0	12	3	8	8	11	0	2	5	2	7	5	0	3	6	2	0	2	1	0	3	1	3	1	0	0	3	3	3	0	10	2	1	4	1	6	2	2	0	0	0	0	1	6	3	2	1	0	18	1	25	1	1	2	2	1	1	0	0	0	1	3	1	2	1	18	1	0	2	4	3	1	1	1	0	1	2	0	0	0	0	6	1	1	5	0	1	0	1	0	2	5	0	3	0	1	0	5	1	4	3	0	0	1	1	2	2	1	1	2	1	0	0	16	1	2	0	0	1	14	1	3	3	7	7	2	2	13	0	1	1	2	5	0	2	2	0	3	0	4	0	1	0	0	1	9	4	0	8	8	2	2	1	0	0	0	0	2	1	0	3	2	10	2	2	10	2	1	0	3	0	15	2	3	6	0	1	11	1	1	3	3	0	2	1	6	21	1	0	0	0	14	8	3	1	9	6	1	5	8	4	0	1	2	2	3
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	1	5	0	0	1	0	0	0	0	3	0	0	4	0	1	2	1	0	0	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	2	0	1	3	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	2	7	1	0	0	2	0	0	0	1	0	1	0	3	0	0	1	0	1	3	1	0	2	2	0	1	4	1	2	0	0	0	1	2	3	0	0	2	1	1	0	4	0	0	0	0	1	0	0	0	4	2	1	1	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	2	0	1	0	0	0	0	1	0	21	0	0	0	0	4	0	0	0	2	1	0	0	1	2	0	0	0	2	0	0	0	0	0	1	1	2	3	1	7	0	0	1	0	1	0	1	0	0	3	0	0	0	3	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	1	1	0	3	9	4	0	1	1	1	4	0	1	0	0	1	1	0	0	0	0	1	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	2	0	3	0	0	0	0	0	4	1	0	1	0	0	1	0	2	0	1	0	3	0	0	1	1	0	0	0
Gothamist	1	2	4	1	4	2	0	2	5	2	1	4	5	13	3	2	6	0	2	3	1	0	0	0	0	4	3	1	1	4	2	6	2	14	2	3	0	1	1	1	2	3	1	4	2	1	13	11	1	1	2	5	52	0	6	1	2	1	0	1	2	0	2	0	1	1	0	3	3	1	0	0	7	5	5	1	8	4	2	0	2	0	0	2	0	1	1	0	0	4	0	5	0	1	1	5	5	0	3	7	2	2	2	4	6	0	8	0	0	1	10	0	1	1	4	9	4	17	1	0	1	2	2	0	0	2	10	5	2	0	0	1	0	1	3	2	1	1	2	2	0	0	8	3	0	0	1	1	1	1	0	0	6	2	1	5	0	0	0	0	10	2	32	1	1	1	3	5	1	1	1	0	0	2	1	0	0	2	4	2	6	1	7	4	1	1	0	0	5	0	3	1	0	0	3	3	1	4	4	0	0	3	1	0	1	0	0	1	2	6	0	1	4	0	1	0	0	5	0	1	1	0	0	0	0	0	0	2	2	1	6	11	2	2	3	5	9	2	2	3	5	3	1	3	7	0	1	4	0	1	2	0	1	1	0	1	2	9	3	1	2	5	5	3	0	0	0	3	1	1	2	2	3	0	6	1	2	5	0	0	0	1	2	1	1	1	12	0	0	14	1	0	0	0	1	0	1	1	5	3	2	1	0	5	4	17	3	2	13	1	2	11	0	5	9	2	2	0
Lifehack - Feed	1	0	1	6	0	0	0	1	0	2	1	1	1	0	0	0	4	0	0	1	1	0	0	2	0	3	2	0	0	1	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	5	1	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	10	0	4	0	0	0	2	0	1	1	1	1	1	0	0	0	0	0	0	3	0	0	0	1	2	5	1	2	1	3	0	3	4	0	4	0	0	0	1	3	1	1	0	2	0	4	2	3	0	0	1	0	2	0	0	0	1	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	1	0	0	2	0	0	2	1	3	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	4	1	0	4	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	5	2	0	3	0	0	0	0	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	1	4	0	0	3	2	3	1	0	2	2	0	2	0	2	1	1	0	0	1	0
BuzzMachine	0	1	0	1	0	1	0	0	0	1	0	1	3	2	2	1	3	0	0	1	0	0	0	1	1	4	0	0	1	3	0	2	0	0	0	0	1	3	1	1	2	2	0	0	2	3	4	6	2	0	0	0	2	2	7	0	0	1	0	1	0	0	0	0	0	5	0	2	0	1	0	1	5	4	2	4	3	0	1	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	9	3	0	6	0	0	16	0	1	3	1	0	3	0	11	3	1	0	0	0	1	0	8	0	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	20	0	0	1	0	1	1	0	21	0	0	0	0	1	0	2	3	1	0	0	2	0	0	0	2	0	0	2	2	1	0	3	1	1	0	4	0	0	1	0	2	0	0	0	0	2	17	0	0	0	0	2	1	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	2	1	0	1	5	2	1	1	1	2	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	5	1	3	2	0	0	1	0	0	0	0	1	2	0	2	1	3	1	0	0	0	0	0	4	0	0	7	0	1	2	0	1	0	2	0	0	0	1	4	0	0	0	0	4	0	2	1	1	2	0	2	4	2	0	2	0	1	0
Techdirt.	1	8	10	24	15	4	10	30	4	17	0	9	38	48	5	1	24	3	6	16	5	0	6	12	16	25	19	9	14	3	3	34	0	13	7	10	22	16	20	25	4	8	5	0	7	0	50	73	16	3	4	0	52	15	40	7	12	14	9	7	5	2	23	0	1	7	0	1	5	6	6	6	98	105	22	4	24	7	5	2	17	2	7	8	23	11	2	5	26	15	7	13	9	2	14	4	17	15	29	60	10	26	21	2	48	1	1	10	4	15	76	2	1	38	12	76	23	16	8	9	17	3	32	27	5	13	112	11	6	5	2	12	7	3	5	2	4	8	11	18	11	6	33	0	20	2	5	8	3	8	5	3	7	8	5	17	16	1	11	5	31	36	27	6	1	5	3	8	1	4	5	25	4	2	13	0	7	15	13	11	37	21	31	20	0	13	3	13	22	2	3	9	5	27	6	5	42	0	10	6	0	5	1	23	5	6	3	15	9	10	2	12	7	5	5	8	6	12	5	3	14	4	6	5	3	26	9	17	5	2	3	69	5	1	32	53	72	9	5	31	0	0	7	10	20	4	5	7	9	8	11	5	9	2	5	4	15	34	0	16	36	28	4	0	3	1	12	16	1	2	6	21	5	1	62	5	30	41	3	3	6	1	0	30	3	6	7	0	3	63	3	9	7	11	6	3	6	24	80	6	3	12	6	14	33	5	44	37	46	14	6	40	26	6	36	9	7	1
ongoing by Tim Bray	0	4	2	5	11	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	3	0	0	2	1	0	3	2	0	4	1	0	0	1	1	4	5	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	2	0	1	1	4	0	1	4	2	15	3	0	1	6	3	0	4	0	2	0	0	1	3	0	1	0	4	0	0	1	0	0	11	1	3	8	4	1	6	3	0	10	8	0	2	0	3	14	0	1	7	1	4	3	0	0	0	0	0	3	0	1	0	10	2	3	3	0	2	4	0	0	3	0	0	0	2	0	0	7	2	0	0	11	0	0	0	0	0	1	0	2	54	4	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	1	0	1	9	0	2	0	0	3	2	2	2	0	1	0	0	1	1	1	3	6	0	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	1	5	0	2	3	1	2	0	0	1	0	0	5	3	0	0	2	0	0	3	6	0	2	3	9	11	0	0	1	2	8	0	0	2	0	0	1	0	3	0	0	2	1	0	0	1	3	1	0	1	6	0	0	0	0	1	4	2	0	1	0	0	2	4	0	12	4	0	0	1	0	0	0	2	1	1	0	1	5	0	1	0	0	0	0	0	2	6	2	0	0	0	1	5	0	0	6	6	2	2	2	0	0	0	2	0	1
The Viral Garden	10	25	34	60	4	5	0	10	7	6	2	6	40	13	7	2	68	1	2	26	5	2	1	8	0	62	6	14	0	0	1	40	2	0	6	7	10	18	25	21	7	4	5	2	5	25	43	87	1	5	2	4	64	13	11	6	10	5	10	5	5	4	10	2	0	22	0	8	0	3	10	5	78	24	9	3	23	16	5	4	0	13	4	9	8	16	2	5	3	20	12	5	1	10	5	17	8	23	50	90	9	44	40	3	48	22	3	43	7	27	94	3	3	42	14	23	19	19	2	8	16	2	25	123	3	30	86	70	10	14	7	23	4	10	5	11	12	6	2	8	1	1	17	0	2	0	14	14	14	1	3	1	1	8	2	340	12	7	61	0	17	19	21	3	11	6	0	11	10	7	1	15	6	3	15	18	3	13	0	3	61	20	21	2	1	13	1	4	12	1	4	17	32	23	3	3	36	1	21	5	8	1	2	12	3	16	3	0	3	8	8	4	17	0	0	18	5	23	2	9	6	13	7	12	8	0	9	20	9	17	17	61	4	11	27	48	80	1	10	31	57	68	3	5	14	5	5	10	5	10	2	4	6	10	0	3	1	11	0	10	19	35	4	0	10	2	3	8	11	6	8	8	2	48	38	10	37	34	12	0	5	0	2	2	1	7	8	2	7	104	6	8	5	10	3	1	0	20	44	26	6	9	5	7	27	2	72	19	16	21	12	47	19	22	38	24	8	0
The Official Google Blog	9	14	10	40	51	3	10	13	11	7	15	13	14	27	12	2	24	5	5	27	10	4	16	5	41	22	6	1	5	3	0	19	14	8	10	12	4	15	14	5	18	20	0	8	7	3	29	44	0	5	4	2	54	3	11	6	1	10	7	5	13	1	19	4	10	20	3	10	0	6	2	7	36	36	14	2	31	21	2	6	9	10	6	16	5	2	4	4	0	28	0	4	3	3	4	22	9	6	15	25	7	42	26	3	177	1	4	1	1	9	18	3	4	58	3	9	21	58	2	13	6	5	21	4	7	21	19	82	2	4	3	2	9	36	9	1	3	4	22	9	6	3	13	5	1	2	12	1	10	3	2	1	2	9	1	73	6	2	1	19	8	19	59	4	4	4	2	7	11	3	2	16	1	6	11	6	0	2	2	1	28	24	17	4	7	5	1	4	6	2	8	3	5	15	6	3	16	0	39	1	2	0	0	6	10	2	1	2	11	9	16	14	8	4	5	1	0	9	3	10	6	6	1	2	0	101	1	15	3	11	18	38	7	1	44	33	32	3	11	12	11	19	1	8	19	1	5	4	3	2	4	3	7	6	0	4	0	14	2	2	6	19	6	2	0	7	8	13	5	11	3	3	3	1	34	5	16	34	5	13	6	0	5	6	4	11	18	0	0	51	2	4	2	14	6	0	6	21	63	11	3	4	3	87	26	1	51	10	17	8	8	23	11	10	2	5	12	2
Neil Gaiman's Journal	2	37	15	23	10	0	0	18	9	26	9	52	57	22	10	11	50	1	4	38	2	22	4	10	0	57	28	10	5	3	5	45	1	1	3	11	26	24	15	9	5	19	3	0	15	22	37	52	5	7	1	9	38	1	5	6	6	6	22	4	5	4	12	1	10	25	3	7	0	6	33	25	101	74	16	2	42	21	31	3	7	5	5	14	27	12	15	7	3	30	0	9	0	3	4	23	15	29	53	57	11	35	39	10	58	27	11	6	7	12	148	5	5	43	15	56	29	38	2	2	22	10	13	2	4	3	56	19	3	14	6	21	15	10	4	4	7	6	7	11	3	0	39	2	2	13	23	2	13	5	30	2	9	12	15	473	8	6	2	5	78	31	39	9	12	7	0	17	7	25	4	1	8	2	12	54	9	18	1	8	59	24	23	8	1	21	0	5	8	10	1	20	8	24	9	4	27	2	33	3	16	1	2	6	7	9	18	1	7	24	5	11	24	3	8	6	3	14	0	15	1	3	2	7	15	2	2	20	3	14	12	68	2	10	43	58	58	1	2	39	83	84	5	2	23	22	12	24	4	25	2	0	20	12	5	1	3	29	8	11	12	34	4	0	4	4	6	12	10	2	5	4	8	11	63	8	61	49	1	4	3	0	8	8	0	7	42	4	14	65	0	11	9	0	4	1	1	0	66	17	10	25	8	6	54	12	19	32	50	6	22	56	21	11	35	9	16	58
Signal v. Noise - Medium	1	5	4	10	14	0	1	7	0	3	4	11	6	5	1	0	18	1	8	13	9	3	1	7	3	17	3	3	3	0	2	9	5	0	3	7	0	13	7	8	5	0	0	3	2	8	13	28	0	12	2	8	16	5	6	2	0	0	7	4	5	1	6	2	2	6	0	9	1	3	6	11	36	24	13	3	12	12	2	4	1	1	1	1	9	7	3	3	2	20	0	5	1	4	3	25	0	5	11	35	0	10	18	4	46	6	0	1	1	15	31	1	4	30	3	17	7	5	1	2	9	0	4	6	4	1	35	24	3	1	2	3	5	2	5	0	0	2	1	7	5	1	7	2	4	7	4	22	0	0	0	2	2	4	4	67	11	3	1	2	1	6	4	1	2	4	0	7	4	2	2	1	3	3	9	8	0	4	1	1	18	3	19	4	1	1	12	4	3	2	1	6	3	5	1	1	8	0	17	2	2	0	0	3	0	4	2	0	2	5	3	4	6	0	4	3	1	2	0	4	0	2	2	9	3	4	4	8	3	5	5	28	1	0	11	20	19	5	4	11	8	12	2	2	3	1	3	3	13	4	2	0	6	1	0	3	0	11	2	2	13	19	4	0	6	1	2	6	2	0	0	1	1	0	30	3	18	21	0	0	1	0	3	10	1	2	0	4	0	34	0	3	1	2	6	2	1	8	18	6	2	7	0	29	12	0	20	2	6	5	1	1	5	13	3	5	1	5
456 Berea Street	0	2	1	4	0	0	0	6	1	0	0	1	1	3	0	0	3	0	1	0	0	0	1	0	5	6	1	1	0	0	1	3	0	0	0	1	1	1	4	2	0	0	0	0	0	0	4	5	0	2	0	0	2	0	7	1	1	0	3	1	0	0	1	0	3	4	0	0	0	2	10	3	6	3	1	0	2	0	2	0	0	1	0	0	1	0	0	1	0	3	2	0	4	0	0	1	3	1	2	1	0	2	5	0	2	0	0	4	0	1	6	1	0	6	0	4	1	0	0	0	1	0	1	0	0	3	11	1	0	1	1	1	0	2	0	1	0	1	6	2	2	0	5	0	1	0	1	0	0	0	0	0	0	3	0	29	4	0	0	0	0	3	0	2	0	1	0	2	0	0	0	1	3	1	4	0	0	0	0	1	4	5	1	4	0	0	0	2	5	0	0	0	3	0	1	1	3	0	2	1	0	1	0	1	5	1	0	0	1	1	1	1	1	0	0	0	3	2	0	1	0	1	0	0	2	0	2	0	0	0	0	8	0	2	3	2	9	0	2	0	2	3	1	0	3	1	2	0	0	0	1	2	2	0	0	12	1	3	0	1	2	6	0	0	0	0	0	3	1	2	1	1	1	0	9	0	6	3	1	2	0	0	0	0	0	1	0	0	2	6	0	1	0	0	0	0	0	9	4	0	1	0	1	0	1	0	3	4	1	2	0	5	0	0	1	1	0	0
Joel on Software	0	1	2	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	4	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	6	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Boing Boing	1	7	3	5	6	1	0	6	3	3	4	2	16	18	5	6	16	3	0	5	0	1	3	3	2	8	6	2	1	0	1	20	3	1	4	3	1	7	6	3	4	0	1	1	7	0	10	23	2	1	3	1	9	4	6	0	2	3	4	2	4	1	5	0	2	2	3	0	0	1	34	1	23	14	15	2	6	2	1	1	6	8	1	1	9	2	0	0	0	8	0	4	0	0	3	7	13	3	13	27	1	13	13	0	17	2	1	6	1	3	39	1	3	18	7	21	5	19	3	2	4	3	5	1	4	1	31	15	0	1	1	1	2	2	4	3	3	2	4	4	3	3	11	0	3	2	4	9	1	3	11	3	6	8	3	42	7	0	3	8	33	5	18	3	2	0	6	6	1	3	1	1	1	4	4	3	2	13	7	1	17	5	12	2	0	3	6	3	2	0	2	0	2	5	1	2	13	3	6	1	0	2	3	4	1	5	2	3	4	7	0	4	9	3	1	2	1	7	5	3	3	0	2	2	1	0	2	5	1	1	5	26	2	1	17	7	15	1	3	11	9	28	5	3	11	1	0	1	2	2	4	0	3	3	0	2	3	16	2	5	3	13	3	10	11	0	1	1	2	1	1	2	5	0	27	3	5	22	1	2	2	3	1	0	0	2	43	0	3	38	4	3	4	2	0	4	0	3	26	4	4	1	1	8	14	4	19	6	32	4	4	23	7	5	10	4	4	0
Wired	1	3	2	7	4	1	3	0	4	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0	1	1	1	1	0	0	0	2	2	0	0	2	3	3	1	1	0	0	5	0	2	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	4	0	1	1	2	1	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	1	0	5	2	0	2	0	0	3	0	1	0	0	1	4	0	0	4	4	1	1	9	0	2	1	1	1	1	1	0	4	3	0	2	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	3	2	0	0	1	0	1	1	0	0	0	0	2	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	1	4	6	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	2	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	2	2	0	4	0	1	2	0	0	0	0	0	1	1	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	0	3	1	2	0	0	2	0	0	0	0	0	0
WIL WHEATON dot NET	3	4	4	11	6	0	0	4	1	9	6	7	2	9	3	0	14	1	2	17	2	4	0	1	0	27	3	5	0	0	0	9	7	0	1	8	8	7	0	4	4	1	4	0	14	10	10	15	3	2	3	2	4	0	6	0	2	2	6	0	0	0	3	0	0	10	0	3	2	3	0	7	19	17	6	0	7	5	1	0	0	2	3	1	4	4	3	1	2	8	0	1	0	3	2	2	3	2	12	37	0	15	13	8	44	0	5	4	0	6	10	0	2	12	1	18	6	1	0	1	2	5	4	0	1	0	44	13	1	0	2	2	4	3	1	1	2	0	10	1	1	3	8	0	13	0	12	0	1	0	4	2	5	1	3	120	2	0	0	1	14	8	1	1	6	2	1	3	3	2	1	0	5	1	12	23	5	1	2	0	16	7	27	2	0	4	2	2	4	4	2	4	0	8	4	6	8	1	14	5	1	0	0	1	3	2	1	0	1	2	2	3	5	5	1	1	5	3	0	2	2	0	3	1	3	0	1	4	2	3	8	20	4	2	11	15	19	6	5	2	22	35	2	0	2	4	1	1	1	4	0	0	2	4	0	0	2	7	0	0	3	19	2	7	0	1	3	5	2	2	3	1	2	2	24	0	11	16	0	1	0	0	12	1	2	2	12	0	2	41	1	5	0	0	0	0	0	4	18	6	1	8	1	18	22	0	25	5	37	1	4	18	5	11	14	8	7	0
Latest from Crooks and Liars	1	2	3	2	4	0	0	2	0	2	0	1	12	2	6	0	4	0	1	1	1	0	0	1	0	2	2	3	0	0	0	5	1	0	1	4	3	2	1	1	0	0	0	0	6	0	4	12	0	0	0	0	9	0	0	1	0	0	0	2	1	0	4	0	0	1	1	0	1	2	7	2	3	4	1	2	8	0	0	0	1	0	1	0	0	4	1	0	0	0	0	0	0	1	4	1	3	1	1	11	1	7	3	0	11	3	1	1	0	4	16	2	0	3	1	17	3	3	0	0	2	0	1	3	0	0	13	3	1	0	3	4	1	0	2	3	0	3	0	0	1	0	3	0	1	0	1	0	0	1	4	2	0	3	9	7	2	0	4	1	17	3	5	0	3	1	5	2	2	1	2	0	0	0	3	3	2	7	3	0	6	1	6	10	0	3	0	1	1	2	0	0	5	0	0	0	8	1	1	0	0	0	0	0	0	1	2	0	3	2	0	0	4	7	1	1	1	0	0	1	2	0	0	0	1	0	0	4	0	0	2	6	0	0	1	17	11	3	0	3	1	3	0	0	4	0	0	0	0	1	0	1	1	2	0	1	13	2	0	4	6	6	1	19	0	0	1	0	1	0	2	2	1	0	3	2	5	5	1	0	1	0	0	0	0	1	10	2	0	7	0	1	1	0	0	0	0	0	4	1	2	0	2	5	5	2	3	0	4	2	4	5	1	3	3	0	3	0
Creating Passionate Users	0	1	0	3	1	0	0	0	0	1	0	1	0	2	0	0	1	0	0	3	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	1	3	1	0	0	0	0	4	0	1	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	1	0	2	1	0	0	0	0	0	3	2	0	2	0	0	4	0	0	2	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	2	4	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	4	0	2	1	0	2	1	0	0	0	0	0	4	1	0	0	5	0	0	5	0	1	1	0	1	0	1	1	0	0	1	2	1	1	2	1	0	0	1	0	0
Kotaku	0	1	5	4	0	0	0	2	6	1	0	1	3	1	2	1	3	0	0	0	0	1	0	0	0	2	1	1	1	0	1	7	0	0	0	1	0	0	2	0	1	6	0	1	3	0	4	6	1	0	1	2	24	0	3	0	0	1	5	0	0	0	2	3	0	2	2	1	2	1	22	1	7	3	2	0	6	1	0	2	7	1	0	1	0	0	0	1	0	3	0	3	0	0	0	1	2	1	1	5	1	4	0	0	1	0	2	0	0	2	3	0	0	4	0	3	1	10	0	0	0	0	0	0	1	0	5	4	0	1	0	1	0	1	0	1	1	0	4	2	0	6	7	5	1	0	1	0	0	0	0	1	1	3	2	11	1	0	1	1	1	1	12	0	0	0	0	4	1	0	3	0	0	0	2	0	1	0	1	0	6	1	5	2	2	3	2	0	1	0	2	0	0	1	2	0	1	3	2	1	0	0	0	1	2	0	0	2	0	2	0	0	0	0	3	0	1	2	0	1	1	0	1	3	0	1	0	6	0	1	4	2	0	0	1	6	6	0	1	2	1	5	0	1	2	0	2	0	0	0	0	1	1	0	6	0	0	2	0	0	2	3	6	2	0	1	1	0	0	1	0	0	1	0	6	0	5	4	1	0	0	4	0	2	0	1	3	0	0	8	1	0	0	0	0	0	0	3	7	0	0	3	0	0	4	2	0	3	1	0	4	2	3	0	0	1	1	0
